keyword	search_volume	topic	category	cluster_name	main_keyword	keyword_difficulty	cluster_avg_difficulty	position	avg_cluster_position	clicks	impressions	ctr	cover_url	cluster_total_search_volume	has_magicfuse_cover
salesforce crm software	18100	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	66.0	61.5	0.0	-			0.0		359880	NO
salesforce crm tools	18100	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	81.0	61.5	0.0	-			0.0		359880	NO
crm sfdc	9900	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	42.0	61.5	0.0	-			0.0		359880	NO
salesforce and crm	9900	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	45.0	61.5	0.0	-			0.0		359880	NO
salesforce as crm	9900	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	59.0	61.5	0.0	-			0.0		359880	NO
salesforce client relationship management	9900	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	51.0	61.5	0.0	-			0.0		359880	NO
salesforce crm management	9900	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	36.0	61.5	0.0	-			0.0		359880	NO
salesforce customer management	9900	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	29.0	61.5	0.0	-			0.0		359880	NO
salesforce customer relationship	9900	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	44.0	61.5	0.0	-			0.0		359880	NO
salesforce customer relationship management	9900	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	78.0	61.5	0.0	-			0.0		359880	NO
salesforce customer relationship management system	9900	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	24.0	61.5	0.0	-			0.0		359880	NO
salesforce is crm	9900	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	39.0	61.5	0.0	-			0.0		359880	NO
salesforce relationship management	9900	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	78.0	61.5	0.0	-			0.0		359880	NO
salesforce what is crm	9900	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	62.0	61.5	0.0	-			0.0		359880	NO
salesforce crm system	4400	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	66.0	61.5	0.0	-			0.0		359880	NO
is salesforce a crm	2400	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	44.0	61.5	0.0	-			0.0		359880	NO
crm salesforce	1900	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	64.0	61.5	0.0	-			0.0		359880	NO
customer relationship management salesforce	1900	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	53.0	61.5	0.0	-			0.0		359880	NO
is salesforce crm	1900	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	62.0	61.5	0.0	-			0.0		359880	NO
salesforce crm platform	1900	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	66.0	61.5	0.0	-			0.0		359880	NO
what is crm in salesforce	880	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	92.0	61.5	0.0	-			0.0		359880	NO
what is salesforce crm	880	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	86.0	61.5	0.0	-			0.0		359880	NO
what is salesforce crm system	880	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	69.0	61.5	0.0	-			0.0		359880	NO
what is sfdc crm	880	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	92.0	61.5	0.0	-			0.0		359880	NO
crm tool salesforce	480	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	53.0	61.5	0.0	-			0.0		359880	NO
salesforce crm program	480	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	68.0	61.5	0.0	-			0.0		359880	NO
salesforce customer relationship management software	480	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	35.0	61.5	0.0	-			0.0		359880	NO
salesforce management system	480	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	84.0	61.5	0.0	-			0.0		359880	NO
software crm salesforce	480	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	50.0	61.5	0.0	-			0.0		359880	NO
crm definition salesforce	390	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	81.0	61.5	0.0	-			0.0		359880	NO
salesforce crm description	390	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	92.0	61.5	0.0	-			0.0		359880	NO
salesforce solution	390	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	77.0	61.5	0.0	-			0.0		359880	NO
salesforce crm sales	260	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	62.0	61.5	0.0	-			0.0		359880	NO
salesforce crm application	210	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	51.0	61.5	0.0	-			0.0		359880	NO
salesforce sales crm	210	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	76.0	61.5	0.0	-			0.0		359880	NO
sf crm	210	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	73.0	61.5	0.0	-			0.0		359880	NO
system salesforce	210	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	71.0	61.5	0.0	-			0.0		359880	NO
salesforce crm solutions	170	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	29.0	61.5	0.0	-			0.0		359880	NO
salesforce crm systems	170	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	60.0	61.5	0.0	-			0.0		359880	NO
salesforce crm solution	140	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	22.0	61.5	0.0	-			0.0		359880	NO
crm sales force	110	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	64.0	61.5	0.0	-			0.0		359880	NO
is salesforce a crm tool	110	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	48.0	61.5	0.0	-			0.0		359880	NO
salesforce on salesforce	110	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	87.0	61.5	0.0	-			0.0		359880	NO
crm platform salesforce	90	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	45.0	61.5	0.0	-			0.0		359880	NO
crm salesforce meaning	90	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	94.0	61.5	0.0	-			0.0		359880	NO
salesforce com crm	90	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	60.0	61.5	0.0	-			0.0		359880	NO
salesforce com crm system	90	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	54.0	61.5	0.0	-			0.0		359880	NO
salesforce com inc crm	90	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	85.0	61.5	0.0	-			0.0		359880	NO
salesforce crm services	90	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	24.0	61.5	0.0	-			0.0		359880	NO
salesforce customer management system	70	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	41.0	61.5	0.0	-			0.0		359880	NO
what salesforce crm	70	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	71.0	61.5	0.0	-			0.0		359880	NO
is salesforce a crm software	50	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	47.0	61.5	0.0	-			0.0		359880	NO
salesforce cloud based crm	50	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	42.0	61.5	0.0	-			0.0		359880	NO
salesforce crm for sales	50	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	50.0	61.5	0.0	-			0.0		359880	NO
salesforce enterprise crm	50	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	72.0	61.5	0.0	-			0.0		359880	NO
salesforce for sales	50	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	68.0	61.5	0.0	-			0.0		359880	NO
cloud salesforce crm	40	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	74.0	61.5	0.0	-			0.0		359880	NO
salesforce a crm	40	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	48.0	61.5	0.0	-			0.0		359880	NO
salesforce contact management software	40	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	86.0	61.5	0.0	-			0.0		359880	NO
is salesforce crm software	30	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	54.0	61.5	0.0	-			0.0		359880	NO
salesforce client management system	30	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	66.0	61.5	0.0	-			0.0		359880	NO
sales salesforce	30	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	89.0	61.5	0.0	-			0.0		359880	NO
what does salesforce crm look like	30	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	99.0	61.5	0.0	-			0.0		359880	NO
what type of crm is salesforce	10	General Salesforce platform & clouds	Salesforce Cloud Services	Salesforce is a crm	FALSE	25.0	61.5	0.0	-			0.0		359880	NO
service cloud salesforce	4400	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	TRUE	39.0	58.2	0.0	38.4			0.0		26970	NO
salesforce service cloud	2900	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	59.0	58.2	0.0	38.4			0.0		26970	NO
service cloud in salesforce	2900	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	61.0	58.2	35.2	38.4	0	17	0.0	https://magicfuse.co/blog/salesforce-sales-cloud-vs-salesforce-service-cloud	26970	YES
service cloud sfdc	2900	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	48.0	58.2	0.0	38.4			0.0		26970	NO
salesforce in the cloud	1600	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	22.0	58.2	0.0	38.4			0.0		26970	NO
service cloud	1600	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	74.0	58.2	0.0	38.4			0.0		26970	NO
sfdc cloud	1600	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	30.0	58.2	0.0	38.4			0.0		26970	NO
cloud computing salesforce	1300	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	54.0	58.2	0.0	38.4			0.0		26970	NO
cloud salesforce	1300	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	62.0	58.2	0.0	38.4			0.0		26970	NO
salesforce in cloud	1300	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	62.0	58.2	0.0	38.4			0.0		26970	NO
services cloud salesforce	590	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	68.0	58.2	0.0	38.4			0.0		26970	NO
salesforce for service	480	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	83.0	58.2	0.0	38.4			0.0		26970	NO
sfdc service	480	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	81.0	58.2	0.0	38.4			0.0		26970	NO
salesforce as a service	390	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	75.0	58.2	0.0	38.4			0.0		26970	NO
sfdc services	390	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	72.0	58.2	0.0	38.4			0.0		26970	NO
customer service cloud	260	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	86.0	58.2	0.0	38.4			0.0		26970	NO
what is salesforce service cloud	260	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	58.0	58.2	40.1	38.4	0	8	0.0	https://magicfuse.co/blog/salesforce-sales-cloud-vs-salesforce-service-cloud	26970	YES
what is service cloud in salesforce	260	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	66.0	58.2	36.8	38.4	0	4	0.0	https://magicfuse.co/blog/salesforce-sales-cloud-vs-salesforce-service-cloud	26970	YES
service cloud features in salesforce	170	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	20.0	58.2	37.1	38.4	0	8	0.0	https://magicfuse.co/blog/salesforce-sales-cloud-vs-salesforce-service-cloud	26970	YES
service cloud features salesforce	170	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	20.0	58.2	35.4	38.4	0	5	0.0	https://magicfuse.co/blog/salesforce-sales-cloud-vs-salesforce-service-cloud	26970	YES
cloud computing and salesforce	140	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	37.0	58.2	0.0	38.4			0.0		26970	NO
cloud computing in salesforce	140	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	73.0	58.2	0.0	38.4			0.0		26970	NO
crm service cloud	140	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	41.0	58.2	0.0	38.4			0.0		26970	NO
salesforce cloud computing	140	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	54.0	58.2	0.0	38.4			0.0		26970	NO
service cloud definition	140	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	42.0	58.2	0.0	38.4			0.0		26970	NO
what is service cloud	140	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	55.0	58.2	0.0	38.4			0.0		26970	NO
salesforce and cloud computing	110	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	86.0	58.2	0.0	38.4			0.0		26970	NO
salesforce cloud based	110	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	68.0	58.2	0.0	38.4			0.0		26970	NO
salesforce cloud technology	110	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	86.0	58.2	0.0	38.4			0.0		26970	NO
salesforce in cloud computing	110	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	99.0	58.2	0.0	38.4			0.0		26970	NO
salesforce cloud solution	90	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	40.0	58.2	0.0	38.4			0.0		26970	NO
is salesforce cloud computing	70	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	39.0	58.2	0.0	38.4			0.0		26970	NO
salesforce what is cloud computing	70	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	73.0	58.2	0.0	38.4			0.0		26970	NO
what is cloud computing in salesforce	70	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	40.0	58.2	0.0	38.4			0.0		26970	NO
salesforce service cloud solution	50	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	68.0	58.2	46.0	38.4	0	4	0.0	https://magicfuse.co/blog/salesforce-sales-cloud-vs-salesforce-service-cloud	26970	YES
salesforce service cloud crm	40	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	88.0	58.2	0.0	38.4			0.0		26970	NO
support cloud salesforce	30	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	77.0	58.2	0.0	38.4			0.0		26970	NO
service cloud topics	20	Service Cloud	Salesforce Cloud Services	What is Salesforce Service Cloud? All you need to know	FALSE	6.0	58.2	0.0	38.4			0.0		26970	NO
salesforce data cloud	5400	General Salesforce platform & clouds	Salesforce Cloud Services	What is Salesforce Data Cloud & How Does it Work?	TRUE	44.0	47.9	0.0	-			0.0		7710	NO
data in salesforce	720	General Salesforce platform & clouds	Salesforce Cloud Services	What is Salesforce Data Cloud & How Does it Work?	FALSE	43.0	47.9	0.0	-			0.0		7710	NO
salesforce data	720	General Salesforce platform & clouds	Salesforce Cloud Services	What is Salesforce Data Cloud & How Does it Work?	FALSE	77.0	47.9	0.0	-			0.0		7710	NO
salesforce data cloud logo	320	General Salesforce platform & clouds	Salesforce Cloud Services	What is Salesforce Data Cloud & How Does it Work?	FALSE	42.0	47.9	0.0	-			0.0		7710	NO
data cloud logo	210	General Salesforce platform & clouds	Salesforce Cloud Services	What is Salesforce Data Cloud & How Does it Work?	FALSE	57.0	47.9	0.0	-			0.0		7710	NO
sfdc data	170	General Salesforce platform & clouds	Salesforce Cloud Services	What is Salesforce Data Cloud & How Does it Work?	FALSE	30.0	47.9	0.0	-			0.0		7710	NO
salesforce com data	90	General Salesforce platform & clouds	Salesforce Cloud Services	What is Salesforce Data Cloud & How Does it Work?	FALSE	53.0	47.9	0.0	-			0.0		7710	NO
sfdc data cloud	50	General Salesforce platform & clouds	Salesforce Cloud Services	What is Salesforce Data Cloud & How Does it Work?	FALSE	32.0	47.9	0.0	-			0.0		7710	NO
data cloud logo salesforce	30	General Salesforce platform & clouds	Salesforce Cloud Services	What is Salesforce Data Cloud & How Does it Work?	FALSE	53.0	47.9	0.0	-			0.0		7710	NO
salesforce experience cloud	1600	Experience Cloud	Salesforce Cloud Services	Why do I need an Experience Cloud site?	TRUE	53.0	34.0	0.0	-			0.0		6210	NO
cloud experiences	1000	Experience Cloud	Salesforce Cloud Services	Why do I need an Experience Cloud site?	FALSE	39.0	34.0	0.0	-			0.0		6210	NO
experience cloud	1000	Experience Cloud	Salesforce Cloud Services	Why do I need an Experience Cloud site?	FALSE	21.0	34.0	0.0	-			0.0		6210	NO
experience cloud salesforce	590	Experience Cloud	Salesforce Cloud Services	Why do I need an Experience Cloud site?	FALSE	37.0	34.0	0.0	-			0.0		6210	NO
experience salesforce	480	Experience Cloud	Salesforce Cloud Services	Why do I need an Experience Cloud site?	FALSE	58.0	34.0	0.0	-			0.0		6210	NO
sfdc experience	480	Experience Cloud	Salesforce Cloud Services	Why do I need an Experience Cloud site?	FALSE	14.0	34.0	0.0	-			0.0		6210	NO
salesforce experience	390	Experience Cloud	Salesforce Cloud Services	Why do I need an Experience Cloud site?	FALSE	45.0	34.0	0.0	-			0.0		6210	NO
what is salesforce experience	140	Experience Cloud	Salesforce Cloud Services	Why do I need an Experience Cloud site?	FALSE	5.0	34.0	0.0	-			0.0		6210	NO
what is salesforce experience cloud	110	Experience Cloud	Salesforce Cloud Services	Why do I need an Experience Cloud site?	FALSE	22.0	34.0	0.0	-			0.0		6210	NO
